source,lifecycle:transition,concept:name,Sheet,time:timestamp,FileName,case:concept:name,case:description,Url,Label,Value,Column,Row
Excel,complete,openFile,Sheet1,2019-02-19 03:38:31.823000+11:00,data.xls,1,instance with id 1,,,,,
Web,complete,goToUrl,,2019-02-19 03:38:31.823000+11:00,,1,instance with id 1,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:38:37.593000+11:00,,1,instance with id 1,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:38:49.944000+11:00,,1,instance with id 1,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:39:01.809000+11:00,,1,instance with id 1,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:39:05.388000+11:00,,1,instance with id 1,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:39:10.568000+11:00,,1,instance with id 1,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:39:13.476000+11:00,,1,instance with id 1,,B2,,,
Web,complete,insertValue,,2019-02-19 03:39:17.234000+11:00,,1,instance with id 1,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:39:18.815000+11:00,,1,instance with id 1,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:39:19.755000+11:00,,1,instance with id 1,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:39:22.607000+11:00,,1,instance with id 1,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:39:25.435000+11:00,,1,instance with id 1,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:39:27.991000+11:00,,1,instance with id 1,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:39:37.991000+11:00,data.xls,1,instance with id 2,,,,,
Web,complete,goToUrl,,2019-02-19 03:39:43.468000+11:00,,1,instance with id 2,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:39:45.606000+11:00,,1,instance with id 2,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:39:56.848000+11:00,,1,instance with id 2,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:39:57.534000+11:00,,1,instance with id 2,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:40:00.064000+11:00,,1,instance with id 2,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:40:07.873000+11:00,,1,instance with id 2,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:40:10.230000+11:00,,1,instance with id 2,,B2,,,
Web,complete,insertValue,,2019-02-19 03:40:14.607000+11:00,,1,instance with id 2,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:40:18.285000+11:00,,1,instance with id 2,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:40:21.748000+11:00,,1,instance with id 2,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:40:24.794000+11:00,,1,instance with id 2,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:40:28.738000+11:00,,1,instance with id 2,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:40:33.939000+11:00,,1,instance with id 2,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:40:43.939000+11:00,data.xls,1,instance with id 3,,,,,
Web,complete,goToUrl,,2019-02-19 03:40:56.768000+11:00,,1,instance with id 3,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:41:02.969000+11:00,,1,instance with id 3,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:41:07.540000+11:00,,1,instance with id 3,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:41:13.714000+11:00,,1,instance with id 3,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:41:16.310000+11:00,,1,instance with id 3,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:41:29.862000+11:00,,1,instance with id 3,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:41:34.086000+11:00,,1,instance with id 3,,B2,,,
Web,complete,insertValue,,2019-02-19 03:41:36.443000+11:00,,1,instance with id 3,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:41:39.826000+11:00,,1,instance with id 3,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:41:42.364000+11:00,,1,instance with id 3,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:41:45.969000+11:00,,1,instance with id 3,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:41:49.980000+11:00,,1,instance with id 3,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:41:52.569000+11:00,,1,instance with id 3,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:42:02.569000+11:00,data.xls,1,instance with id 4,,,,,
Web,complete,goToUrl,,2019-02-19 03:42:06.828000+11:00,,1,instance with id 4,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:42:14.084000+11:00,,1,instance with id 4,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:42:19.956000+11:00,,1,instance with id 4,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:42:26.675000+11:00,,1,instance with id 4,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:42:29.073000+11:00,,1,instance with id 4,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:42:35.523000+11:00,,1,instance with id 4,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:42:38.116000+11:00,,1,instance with id 4,,B2,,,
Web,complete,insertValue,,2019-02-19 03:42:40.848000+11:00,,1,instance with id 4,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:42:42.893000+11:00,,1,instance with id 4,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:42:45.547000+11:00,,1,instance with id 4,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:42:47.636000+11:00,,1,instance with id 4,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:42:49.608000+11:00,,1,instance with id 4,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:42:52.809000+11:00,,1,instance with id 4,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:43:02.809000+11:00,data.xls,1,instance with id 5,,,,,
Web,complete,goToUrl,,2019-02-19 03:43:06.573000+11:00,,1,instance with id 5,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:43:20.301000+11:00,,1,instance with id 5,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:43:30.698000+11:00,,1,instance with id 5,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:43:45.997000+11:00,,1,instance with id 5,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:43:49.175000+11:00,,1,instance with id 5,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:44:05.259000+11:00,,1,instance with id 5,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:44:07.995000+11:00,,1,instance with id 5,,B2,,,
Web,complete,insertValue,,2019-02-19 03:44:09.282000+11:00,,1,instance with id 5,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:44:12.366000+11:00,,1,instance with id 5,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:44:15.607000+11:00,,1,instance with id 5,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:44:19.094000+11:00,,1,instance with id 5,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:44:21.427000+11:00,,1,instance with id 5,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:44:24.632000+11:00,,1,instance with id 5,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:44:34.632000+11:00,data.xls,1,instance with id 6,,,,,
Web,complete,goToUrl,,2019-02-19 03:44:34.632000+11:00,,1,instance with id 6,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:44:45.068000+11:00,,1,instance with id 6,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:44:49.578000+11:00,,1,instance with id 6,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:44:51.744000+11:00,,1,instance with id 6,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:44:56.251000+11:00,,1,instance with id 6,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:45:10.758000+11:00,,1,instance with id 6,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:45:13.692000+11:00,,1,instance with id 6,,B2,,,
Web,complete,insertValue,,2019-02-19 03:45:16.051000+11:00,,1,instance with id 6,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:45:19.197000+11:00,,1,instance with id 6,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:45:21.490000+11:00,,1,instance with id 6,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:45:23.581000+11:00,,1,instance with id 6,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:45:26.060000+11:00,,1,instance with id 6,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:45:28.102000+11:00,,1,instance with id 6,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:45:38.102000+11:00,data.xls,1,instance with id 7,,,,,
Web,complete,goToUrl,,2019-02-19 03:45:50.640000+11:00,,1,instance with id 7,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:45:50.640000+11:00,,1,instance with id 7,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:46:00.786000+11:00,,1,instance with id 7,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:46:13.664000+11:00,,1,instance with id 7,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:46:16.307000+11:00,,1,instance with id 7,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:46:17.209000+11:00,,1,instance with id 7,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:46:21.916000+11:00,,1,instance with id 7,,B2,,,
Web,complete,insertValue,,2019-02-19 03:46:26.083000+11:00,,1,instance with id 7,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:46:27.547000+11:00,,1,instance with id 7,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:46:32.822000+11:00,,1,instance with id 7,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:46:37.269000+11:00,,1,instance with id 7,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:46:39.617000+11:00,,1,instance with id 7,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:46:41.568000+11:00,,1,instance with id 7,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:46:51.568000+11:00,data.xls,1,instance with id 8,,,,,
Web,complete,goToUrl,,2019-02-19 03:47:04.660000+11:00,,1,instance with id 8,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:47:09.615000+11:00,,1,instance with id 8,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:47:13.054000+11:00,,1,instance with id 8,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:47:21.994000+11:00,,1,instance with id 8,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:47:25.652000+11:00,,1,instance with id 8,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:47:28.193000+11:00,,1,instance with id 8,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:47:30.351000+11:00,,1,instance with id 8,,B2,,,
Web,complete,insertValue,,2019-02-19 03:47:31.930000+11:00,,1,instance with id 8,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:47:33.891000+11:00,,1,instance with id 8,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:47:36.944000+11:00,,1,instance with id 8,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:47:40.767000+11:00,,1,instance with id 8,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:47:44.350000+11:00,,1,instance with id 8,,Area,Melbourne 123,,
Web,complete,clickButton,,2019-02-19 03:47:46.521000+11:00,,1,instance with id 8,,OK,,,
Excel,complete,openFile,Sheet1,2019-02-19 03:47:56.521000+11:00,data.xls,1,instance with id 9,,,,,
Web,complete,goToUrl,,2019-02-19 03:48:12.353000+11:00,,1,instance with id 9,www.webpage.com,,,,
Web,complete,insertValue,,2019-02-19 03:48:26.711000+11:00,,1,instance with id 9,,username,Frank01,,
Web,complete,insertValue,,2019-02-19 03:48:35.531000+11:00,,1,instance with id 9,,password,LittleFrank123,,
Web,complete,clickButton,,2019-02-19 03:48:44.657000+11:00,,1,instance with id 9,,confirm,,,
Web,complete,waitResponse,,2019-02-19 03:48:48.548000+11:00,,1,instance with id 9,www.webpage.com/ok,,,,
Web,complete,clickButton,,2019-02-19 03:48:57.431000+11:00,,1,instance with id 9,,Button1,,,
Web,complete,clickButton,,2019-02-19 03:48:59.564000+11:00,,1,instance with id 9,,B2,,,
Web,complete,insertValue,,2019-02-19 03:49:02.609000+11:00,,1,instance with id 9,,ID,182381,,
Excel,complete,copy,,2019-02-19 03:49:05.183000+11:00,,1,instance with id 9,,,Au 58124829 XT,B,1.0
Web,complete,paste,,2019-02-19 03:49:08.344000+11:00,,1,instance with id 9,,Special code,Au 58124829 XT,,
Excel,complete,copy,,2019-02-19 03:49:12.808000+11:00,,1,instance with id 9,,,Melbourne 123,B,2.0
Web,complete,paste,,2019-02-19 03:49:18.081000+11:00,,1,instance with id 9,,Area,Melbourne 123,,
